Query Text,Query Type,Search Count,Share of Searches with Interactions,Share of Searches with Interactions Items,Share of Searches with Interactions Venues,Conversion Rate,Conversion Rate Items,Conversion Rate Venues,Avg Order Venue Position,Avg Order Item Position,Share of Searches with Empty Result
nepalese,recent_searches,40,27.50%,0.00%,27.50%,17.50%,0.00%,17.50%,8.857143,0,10.00%
momotoko,recent_searches,40,62.50%,0.00%,62.50%,20.00%,0.00%,20.00%,0.125,0,0.00%
naughty brgr,text,40,32.50%,0.00%,32.50%,7.50%,0.00%,7.50%,18.666667,0,2.50%
kalasatama,text,40,37.50%,0.00%,37.50%,10.00%,0.00%,10.00%,1,0,5.00%
sörkän rinkula,text,40,65.00%,5.00%,60.00%,5.00%,2.50%,2.50%,0,0,5.00%
factory,text,40,37.50%,2.50%,35.00%,10.00%,0.00%,10.00%,0.25,0,7.50%
joe and the juice,text,39,25.64%,0.00%,25.64%,2.56%,0.00%,2.56%,0,0,7.69%
burger co,text,39,53.85%,0.00%,53.85%,10.26%,0.00%,10.26%,0,0,10.26%
kruunu,text,39,43.59%,0.00%,43.59%,10.26%,0.00%,10.26%,0.25,0,2.56%
momo toko,text,39,56.41%,0.00%,56.41%,7.69%,0.00%,7.69%,0,0,5.13%
k market ,text,39,48.72%,0.00%,48.72%,17.95%,0.00%,17.95%,1,0,7.69%
tintin,text,39,66.67%,0.00%,66.67%,15.38%,0.00%,15.38%,0,0,2.56%
pho nokis,text,39,56.41%,2.56%,53.85%,20.51%,0.00%,20.51%,0,0,0.00%
greek,text,39,46.15%,0.00%,46.15%,5.13%,0.00%,5.13%,0,0,2.56%
juhlamaailma,text,39,66.67%,2.56%,66.67%,7.69%,0.00%,7.69%,1,0,0.00%
samrat,text,39,41.03%,0.00%,41.03%,10.26%,0.00%,10.26%,0,0,5.13%
annapurna,text,39,53.85%,0.00%,53.85%,17.95%,0.00%,17.95%,0,0,2.56%
friends & brgrs,text,39,46.15%,0.00%,46.15%,5.13%,0.00%,5.13%,0.5,0,0.00%
chiken,text,39,20.51%,2.56%,20.51%,2.56%,0.00%,2.56%,1,0,7.69%
cookie,text,39,30.77%,12.82%,20.51%,2.56%,2.56%,0.00%,0,3,5.13%
bangkok 9,text,39,66.67%,0.00%,66.67%,15.38%,0.00%,15.38%,0.285714,0,2.56%
teatteri,text,38,50.00%,0.00%,50.00%,21.05%,0.00%,21.05%,0,0,0.00%
pueblo,text,38,71.05%,0.00%,71.05%,18.42%,0.00%,18.42%,0,0,0.00%
espresso ,text,38,65.79%,0.00%,65.79%,15.79%,0.00%,15.79%,0,0,10.53%
nanking,text,38,57.89%,0.00%,57.89%,28.95%,0.00%,28.95%,0,0,0.00%
blondi,text,38,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,2.63%
la torr,text,38,42.11%,0.00%,42.11%,5.26%,0.00%,5.26%,0,0,0.00%
iphone,text,38,42.11%,13.16%,31.58%,2.63%,0.00%,2.63%,1,0,0.00%
cheesesteak,text,38,10.53%,0.00%,10.53%,0.00%,0.00%,0.00%,,,2.63%
green hipp,text,37,59.46%,2.70%,59.46%,18.92%,0.00%,18.92%,0.428571,0,0.00%
dennis,text,37,67.57%,0.00%,67.57%,24.32%,0.00%,24.32%,0,0,5.41%
hakaniemi,text,37,24.32%,0.00%,24.32%,5.41%,0.00%,5.41%,0,0,2.70%
verkkok,text,37,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%
daddys,text,37,45.95%,5.41%,43.24%,10.81%,0.00%,10.81%,0.25,0,0.00%
pizzala,text,37,78.38%,0.00%,78.38%,8.11%,0.00%,8.11%,0,0,0.00%
waffle,text,37,29.73%,8.11%,21.62%,5.41%,2.70%,2.70%,0,4.5,8.11%
oishi 18,text,37,54.05%,2.70%,54.05%,16.22%,0.00%,16.22%,0.166667,0,5.41%
lemon grass,text,37,10.81%,2.70%,8.11%,2.70%,0.00%,2.70%,2,0,0.00%
gurkha,text,37,59.46%,0.00%,59.46%,16.22%,0.00%,16.22%,0,0,0.00%
emotion,text,37,24.32%,0.00%,24.32%,0.00%,0.00%,0.00%,,,5.41%
lumbini,text,36,61.11%,5.56%,61.11%,16.67%,2.78%,13.89%,0,0.5,0.00%
normal,text,36,8.33%,0.00%,8.33%,0.00%,0.00%,0.00%,,,2.78%
